اسم القاعه,المحافظه,المدينه,الهاتف,فيسبوك,انستجرام,الصور,,photo,اللوكيشن
قاعة الماسة بالبدرشين,الجيزه,البدر شين,010 00567858,https://www.facebook.com/AlmasaStar1/,,,,,https://www.google.com/maps?sca_esv=5b25fdfb3f5f5777&lqi=CkDZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNio2K_Ysdi02YrZhiDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSMynpqqSr4CACFpQEAAQARgAGAEYAhgDGAQiQNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2KjYr9ix2LTZitmGINmF2K3Yp9mB2LjYqSDYp9mE2KzZitiy2YeSAQ13ZWRkaW5nX3ZlbnVlqgGEARABKhkiFdmC2KfYudin2Kog2KfZgdix2KfYrSg2Mh8QASIbxPvBcyCpfqtX9hBZylaN769fHnj2eho9UEOaMkQQAiJA2YLYp9i52KfYqiDYp9mB2LHYp9itINin2YTYqNiv2LHYtNmK2YYg2YXYrdin2YHYuNipINin2YTYrNmK2LLZhw&phdesc=1hBdWbFBobk&vet=12ahUKEwjXjIi-2aaJAxVvaqQEHe-1DbUQ8UF6BAgaEFM..i&lei=sRIaZ5fwMu_UkdUP7-u2qAs&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KQ_qbc3TNVgUMTn0Ti5rTAqZ&daddr=V73J%2B3RF%D8%8C+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A3%D8%B3%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%8C+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3394503
قاعة مراسي,الجيزه,البدر شين,010 00577739,https://www.facebook.com/Marassiclub/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\مدينة البدر شين\قاعة مراسي,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20مراسي,\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20مراسي,https://www.google.com/maps?sca_esv=5b25fdfb3f5f5777&lqi=CkDZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNio2K_Ysdi02YrZhiDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSIHz45LTtoCACFpOEAAQARgAGAIYAxgEIkDZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNio2K_Ysdi02YrZhiDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHkgELZXZlbnRfdmVudWWqAYQBEAEqGSIV2YLYp9i52KfYqiDYp9mB2LHYp9itKDYyHxABIhvE-8FzIKl-q1f2EFnKVo3vr18eePZ6Gj1QQ5oyRBACIkDZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNio2K_Ysdi02YrZhiDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmH&phdesc=y6N5vICBmas&vet=12ahUKEwjXjIi-2aaJAxVvaqQEHe-1DbUQ8UF6BAgaEFM..i&lei=sRIaZ5fwMu_UkdUP7-u2qAs&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KS0QFH4vN1gUMcQeJT24RPM_&daddr=%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3367654
قاعة القصر,الجيزه,البدر شين,010 60000713,https://www.facebook.com/Ahmed3ryan,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\مدينة البدر شين\قاعة القصر,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20القصر,\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20القصر,"https://www.google.com/maps/dir//Unnamed+Road,+%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3355432%E2%80%AD/@29.8694182,31.3149597,12z/data=!3m1!4b1!4m8!4m7!1m0!1m5!1m1!1s0x14584bcfafced191:0x12e6ae99da4dde76!2m2!1d31.2449195!2d29.8694367?entry=ttu&g_ep=EgoyMDI0MTAyMS4xIKXMDSoASAFQAw%3D%3D"
قاعة ريفيرا,الجيزه,البدر شين,011 11151134,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D8%A9-%D8%B1%D9%8A%D9%81%D9%8A%D8%B1%D8%A7-Rivera-100065759161908/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\مدينة البدر شين\قاعة ريفيرا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20رويال%20للافراح,\محافظة%20الجيزه\مدينة%20البدر%20شين\قاعة%20رويال%20للافراح,"https://www.google.com/maps/dir//V74J%2BM74%D8%8C+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A3%D8%B3%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%8C+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9%D8%8C%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%B4%D9%8A%D9%86%E2%80%AD/@29.8566285,31.3507402,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14583711f42e1fdd:0xaae1c18fa2832abe!2m2!1d31.2807!2d29.856647?entry=ttu&g_ep=EgoyMDI0MTAyMS4xIKXMDSoASAFQAw%3D%3D"
قاعة رويال للافراح,الجيزه,البدر شين,010 94843692,https://www.facebook.com/RoyalHall2023/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\مدينة البدر شين\قاعة رويال للافراح,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\مدينة%20البدر%20شين\قرية%20واحة%20سقاره,\محافظة%20الجيزه\مدينة%20البدر%20شين\قرية%20واحة%20سقاره,"https://www.google.com/maps/dir//V76H%2BWG7%D8%8C+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%B4%D9%8A%D9%86%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3394473%E2%80%AD/@29.8624594,31.3487001,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x1458371974374a61:0x7cd6378263338dd4!2m2!1d31.2786599!2d29.8624779?entry=ttu&g_ep=EgoyMDI0MTAyMS4xIKXMDSoASAFQAw%3D%3D"
قرية واحة سقاره,الجيزه,البدر شين,010 06006476,https://www.facebook.com/Saqqaraoasis/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\مدينة البدر شين\قرية واحة سقاره,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\حي%20الوراق\قاعة%20القصر%20الملكي,\محافظة%20الجيزه\حي%20الوراق\قاعة%20القصر%20الملكي,"https://www.google.com/maps/dir//%D8%B3%D9%82%D8%A7%D8%B1%D9%87+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A%D8%8C+%D8%B3%D9%82%D8%A7%D8%B1%D8%A9%D8%8C+%D8%B5%D9%82%D8%A7%D8%B1%D8%A9%D8%8C+%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D8%A7%D8%B4%D9%8A%D9%86%D8%8C+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+%D9%85%D8%AF%D8%AE%D9%84%E2%80%AD/@29.863898,31.3034719,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14584b12dabe9953:0x29fce42ca7c67b08!2m2!1d31.2333489!2d29.863914?entry=ttu&g_ep=EgoyMDI0MTAyMS4xIKXMDSoASAFQAw%3D%3D"
قاعة القصر الملكي,الجيزه,الوراق,011 59692657,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A-%D8%A8%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82-100083128302353/,https://www.instagram.com/explore/locations/1063082157207870/,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\حي الوراق\قاعة القصر الملكي,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\حي%20الوراق\قاعة%20عروستي%20للحفلات%20.%20الوراق,\محافظة%20الجيزه\حي%20الوراق\قاعة%20عروستي%20للحفلات%20.%20الوراق,https://www.google.com/maps?sca_esv=945b0f90c133864c&lqi=Cj3Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCICDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSLOp4-zMrYCACFpMEAAQARgAGAEYAhgDGAQiPNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YjYsdin2YIg2YXYrdin2YHYuNipINin2YTYrNmK2LLZh5IBDXdlZGRpbmdfdmVudWWqAYABEAEqGSIV2YLYp9i52KfYqiDYp9mB2LHYp9itKDYyHxABIhuWaMScT4F3xPZtChQZjrNMBJwoihWEb_kq_1QyQBACIjzZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCINmF2K3Yp9mB2LjYqSDYp9mE2KzZitiy2Yc&phdesc=yOs3l2Ldueo&vet=12ahUKEwjPsIyPl6SJAxX7U6QEHUWSETAQ8UF6BAgEEFM..i&lei=q8AYZ4-vB_unkdUPxaTGgAM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KZ0HyrflQVgUMaMUSPZhb7SW&daddr=4649%2BH45%D8%8C+%D8%A7%D9%84%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4%D8%8C+%D9%88%D8%B1%D8%A7%D9%82+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D8%8C+%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82%D8%8C+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9%D8%8C%D8%8C+%D9%82%D8%B3%D9%85+%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82
قاعة عروستي للحفلات . الوراق,الجيزه,الوراق, 012 86223708,,https://www.instagram.com/explore/locations/953914148090235/,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\حي الوراق\قاعة عروستي للحفلات . الوراق,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\حي%20الوراق\قاعة%20دار%20مكي%20للمناسبات,\محافظة%20الجيزه\حي%20الوراق\قاعة%20دار%20مكي%20للمناسبات,https://www.google.com/maps?sca_esv=945b0f90c133864c&lqi=Cj3Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCICDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSMyw6YTzrICACFpMEAAQARgAGAEYAhgDGAQiPNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YjYsdin2YIg2YXYrdin2YHYuNipINin2YTYrNmK2LLZh5IBDGNvbmNlcnRfaGFsbKoBgAEQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIfEAEiG5ZoxJxPgXfE9m0KFBmOs0wEnCiKFYRv-Sr_VDJAEAIiPNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YjYsdin2YIg2YXYrdin2YHYuNipINin2YTYrNmK2LLZhw&phdesc=0WfvYZdwYv4&vet=12ahUKEwjPsIyPl6SJAxX7U6QEHUWSETAQ8UF6BAgEEFM..i&lei=q8AYZ4-vB_unkdUPxaTGgAM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KWdoQ3U2QFgUMcBRu0hGuioF&daddr=%D8%A8%D8%B9%D8%AF+%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A+%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82+%D8%A8%D8%AC%D9%88%D8%A7%D8%B1+%D8%A7%D9%84%D9%86%D8%B5%D8%B1+%D9%84%D9%84%D9%85%D8%B3%D8%A8%D9%88%D9%83%D8%A7%D8%AA%D8%8C
قاعة دار مكي للمناسبات,الجيزه,الوراق,010 28430164,https://www.facebook.com/p/%D8%AF%D8%A7%D8%B1-%D9%85%D9%83%D9%8A-%D9%84%D9%84%D8%AD%D9%81%D9%84%D8%A7%D8%AA-100077456346576/,https://www.instagram.com/explore/locations/110361778352322/?locale=Tarik%2Bsimpanan%2Btabungan%2Bsecara%2Bonline%2Bdi%2Btechcombank%E3%80%90777ONE.IN%E3%80%91.mupz,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\حي الوراق\قاعة دار مكي للمناسبات,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\حي%20الوراق\قاعة%20افراح%20السرايا,\محافظة%20الجيزه\حي%20الوراق\قاعة%20افراح%20السرايا,https://www.google.com/maps?sca_esv=945b0f90c133864c&lqi=Cj3Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCICDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSJ77uoCtsYCACFpKEAAQARgAGAIYAxgEIjzZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCINmF2K3Yp9mB2LjYqSDYp9mE2KzZitiy2YeSAQtldmVudF92ZW51ZaoBgAEQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIfEAEiG5ZoxJxPgXfE9m0KFBmOs0wEnCiKFYRv-Sr_VDJAEAIiPNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YjYsdin2YIg2YXYrdin2YHYuNipINin2YTYrNmK2LLZhw&phdesc=3Y7LlRNGIu0&vet=12ahUKEwjPsIyPl6SJAxX7U6QEHUWSETAQ8UF6BAgEEFM..i&lei=q8AYZ4-vB_unkdUPxaTGgAM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KYUq-ZXxQVgUMYxfhTL60KRE&daddr=462F%2B73F%D8%8C+%D9%88%D8%B1%D8%A7%D9%82+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D8%8C+%D9%82%D8%B3%D9%85+%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3864101
قاعة افراح السرايا,الجيزه,الوراق,012 02009025,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D9%87-%D8%A7%D9%84%D8%B3%D8%B1%D8%A7%D9%8A%D8%A7-%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82-100066932705044/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الجيزه\حي الوراق\قاعة افراح السرايا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الجيزه\حي%20الوراق\قاعة%20جاردينا%20للمناسبات,\محافظة%20الجيزه\حي%20الوراق\قاعة%20جاردينا%20للمناسبات,https://www.google.com/maps?sca_esv=945b0f90c133864c&lqi=Cj3Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCICDZhdit2KfZgdi42Kkg2KfZhNis2YrYstmHSL3_96mosICACFpMEAAQARgAGAEYAhgDGAQiPNmC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YjYsdin2YIg2YXYrdin2YHYuNipINin2YTYrNmK2LLZh5IBDXdlZGRpbmdfdmVudWWqAYABEAEqGSIV2YLYp9i52KfYqiDYp9mB2LHYp9itKDYyHxABIhuWaMScT4F3xPZtChQZjrNMBJwoihWEb_kq_1QyQBACIjzZgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmI2LHYp9mCINmF2K3Yp9mB2LjYqSDYp9mE2KzZitiy2Yc&phdesc=VnHQ5ghmETc&vet=12ahUKEwjPsIyPl6SJAxX7U6QEHUWSETAQ8UF6BAgEEFM..i&lei=q8AYZ4-vB_unkdUPxaTGgAM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KXXDsR87QVgUMUALolTs4Gzz&daddr=%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%85%D8%A8%D8%A7%D8%A8%D8%A9+%D8%A7%D9%84%D9%82%D9%86%D8%A7%D8%B7%D8%B1+%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%8C+%D9%88%D8%B1%D8%A7%D9%82+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D8%8C+%D9%82%D8%B3%D9%85+%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9+3864250
